Employer	Cash	Equipment	Scholarship	Stipend	Other	Paid Internships	Total	Contact First Name	Contact Last Name	Contact Email	Contact Phone
Total Nutrition	0	0	0	0	0	0	0				
Towanits Indian Education Center	0	0	0	0	0	0	0				
Townsend Architecture	0	0	0	0	0	0	0				
Toys for Tots	0	0	0	0	0	0	0				
Tri-Mag Inc.	0	0	0	0	0	0	0				
Tucoemas Federal Credit Union	0	0	0	0	0	0	0				
Tulare Adult School	0	0	0	0	0	0	0				
Tulare AG Products	0	0	0	0	0	1872	0				
Tulare Community Band	0	0	0	0	0	0	0				
Tulare Community Health Clinic	0	0	0	0	0	1170	0				
Tulare County	0	0	0	0	0	0	0				
Tulare County Association of Realtors	0	0	0	0	0	0	0				
Tulare County Child Care Program	0	0	0	0	0	0	0				
Tulare County District Attorney	0	0	0	0	0	0	0				
Tulare County Farm Bureau	0	0	0	0	0	0	0				
Tulare County Film Commission	0	0	0	0	0	0	0				
Tulare County Fire Department	0	0	0	0	0	0	0				
Tulare County Health & Human Services Agency	0	0	0	0	0	0	0				
Tulare County Library	0	0	0	0	0	3486.6	0				
Tulare County Office of Education	0	0	0	0	0	0	0				
Tulare County Parks and Recreation Department	0	0	0	0	0	0	0				
Tulare County Probation Department	0	0	0	0	0	0	0				
Tulare County Resource Conservation District	0	0	0	0	0	0	0				
Tulare County Resource Mangement	0	0	0	0	0	0	0				
Tulare County Sheriff Department	0	0	0	0	0	0	0				
Tulare County Stockyard	0	0	0	0	0	0	0				
Tulare County Superior Court	0	0	0	0	0	0	0				
Tulare County Supervisor	0	0	0	0	0	0	0				
Tulare District Healthcare	0	0	0	0	0	0	0				
Tulare Foot & Ankle Medicine & Surgery Center	0	0	0	0	0	0	0				
Tulare Golf Course	0	0	0	0	0	0	0				
Tulare Historical Museum	0	0	0	0	0	0	0				
Tulare Kings Hispanic Chamber of Commerce	0	0	0	0	0	0	0				
Tulare Pavilions	0	0	0	0	0	0	0				
Tulare Regional Medial Center	0	0	0	0	0	0	0				
Tulare/Akers Professional Center	0	0	0	0	0	0	0				
Tule River Education Center	0	0	0	0	0	0	0				
Tyrrell Management Company	0	0	0	0	0	0	0				
UC Merced	0	0	0	0	0	0	0				
Uniform Connection	0	0	0	0	0	0	0				
United Signs	0	0	0	0	0	0	0				
United Staffing	0	0	0	0	0	0	0				
United States Air Force	0	0	0	0	0	0	0				
United States Army	0	0	0	0	0	0	0				
United States Department of Agriculture	0	0	0	0	0	0	0				
United States Marines Corps	0	0	0	0	0	0	0				
United States Navy	0	0	0	0	0	0	0				
Universal Bio Parmical Research	0	0	0	0	0	0	0				
Universal Technical Institute	0	0	0	0	0	0	0				
"University of California, San Diego"	0	0	0	0	0	0	0				
"University of California, San Francisco"	0	0	0	0	0	0	0				
unWired Broadband	0	0	0	0	0	0	0				
Urbanist Collective	0	0	0	0	0	0	0				
US Army Corps	0	0	0	0	0	0	0				
US Cotton Classing Office	0	0	0	0	0	0	0				
US Farm Systems	0	0	0	0	0	0	0				
US House of Representatives	0	0	0	0	0	0	0				
US Naval Air Station	0	0	0	0	0	0	0				
US Naval Hospital	0	0	0	0	0	0	0				
Vali Cooper & Associates	0	0	0	0	0	0	0				
Valley Agricultural Software	0	0	0	0	0	0	0				
Valley Business Bank	0	0	0	0	0	0	0				
Valley Children*s Hospital	0	0	0	0	0	0	0				
Valley Children's Hospital	0	0	0	0	0	0	0				
Valley Cleaning and Restoration	0	0	0	0	0	936	0				
Valley Economic Development Center	0	0	0	0	0	0	0				
Valley Financial Services	0	0	0	0	0	0	0				
Valley Ford Lincoln	0	0	0	0	0	0	0				
Valley Oak Credit Union	0	0	0	0	0	0	0				
Valley Oaks Golf Course	0	0	0	0	0	0	0				
Valley Orthopedic Inc	0	0	0	0	0	0	0				
Valley Pallet	0	0	0	0	0	0	0				
Valley Tire and Wheel	0	0	0	0	0	0	0				
VCR Restoration	0	0	0	0	0	0	0				
Verdegaal Brothers	0	0	0	0	0	0	0				
Verdesian Life Science	0	0	0	0	0	0	0				
"VF Outdoor, Inc."	0	0	0	0	0	0	0				
Viking Ready Mix Co.	0	0	0	0	0	0	0				
Visalia Adult School	0	0	0	0	0	0	0				
Visalia Ceramic Tile	0	0	0	0	0	0	0				
Visalia Community Bank	0	0	0	0	0	0	0				
Visalia Convention Center	0	0	0	0	0	0	0				
Visalia Family Practice Medical Group	0	0	0	0	0	0	0				
Visalia Health Care Center	0	0	0	0	0	0	0				
Visalia Holiday Inn & Conference Center	0	0	0	0	0	0	0				
Visalia Lumber Co.	0	0	0	0	0	0	0				
Visalia Mall	0	0	0	0	0	0	0				
Visalia Medical Clinic	0	0	0	0	0	0	0				
Visalia Public Works Administration	0	0	0	0	0	0	0				
Visalia Technical Education Center	0	0	0	0	0	0	0				
Visalia Times-Delta	0	0	0	0	0	0	0				
Visalia Unified School District	0	0	0	0	0	1892.475	0				
Visalia Youth Services	0	0	0	0	0	0	0				
VMTRC	0	0	0	0	0	0	0				
Voltage Multipliers	0	0	0	0	0	0	0				
Vossler Farms	0	0	0	0	0	0	0				
VWR	0	0	0	0	0	0	0				
Walmart Distribution Center	0	0	0	0	0	0	0				
Walmart Pharmacy Warehouse	0	0	0	0	0	0	0				
Walmart Supercenter	0	0	0	0	0	0	0				
Walter Mortensen Insurance	0	0	0	0	0	0	0				
Warmerdam Packing	0	0	0	0	0	0	0				
"Warren & Baerg Manufacturing, Inc."	0	0	0	0	0	0	0				
Warson Starr Attorney at Law	0	0	0	0	0	0	0				
Wawona Packing Company	0	0	0	0	0	0	0				
Wells Fargo Bank	0	0	0	0	0	0	0				
West Hills Community College	0	0	0	0	0	0	0				
Western Farm Service	0	0	0	0	0	0	0				
Westgate Gardens	0	0	0	0	0	0	0				
Westlands Water District	0	0	0	0	0	0	0				
Westwood Capital Services	0	0	0	0	0	0	0				
Whitlacth Group	0	0	0	0	0	0	0				
Wiggins Care Home	0	0	0	0	0	0	0				
Wildplaces	0	0	0	0	0	0	0				
Woodside Homes of Fresno	0	0	0	0	0	0	0				
Workforce Investment Board of Tulare County	0	0	0	0	0	0	0				
X Factor Fitness	0	0	0	0	0	0	0				
Yamabe & Horn Engineering Inc.	0	0	0	0	0	0	0				
Youngs Trucking	0	0	0	0	0	0	0				
Zach Green Films	0	0	0	0	0	0	0				
Zeeb Commercial Real Estate	0	0	0	0	0	0	0				
Zylstra Automotive	0	0	0	0	0	0	0				
